3M                                    94 MAPLEWOOD          MN5514491584  
HEWLETT PACKARD ENTERPRISE            59 PALO ALTO          CA94304195000 
HILTON WORLDWIDE HOLDINGS             241MCLEAN             VA22102169000 
HOLLYFRONTIER                         274DALLAS             TX752012676   
HOME DEPOT                            23 ATLANTA            GA30339406000 
HONEYWELL INTERNATIONAL               73 MORRIS TOWNSHIP    NJ7962 131000 
HORMEL FOODS                          295AUSTIN             MN5591221100  
HOST HOTELS & RESORTS                 472BETHESDA           MD20817220000 
HP                                    61 PALO ALTO          CA9430449000  
HRG GROUP                             418NEW YORK           NY1002216021  
HUMANA                                53 LOUISVILLE         KY4020251600  
HUNTINGTON INGALLS INDUSTRIES         380NEWPORT NEWS       VA2360737000  
HUNTSMAN                              289SALT LAKE CITY     UT8410815000  
IBM                                   32 ARMONK             NY10504414400 
ICAHN ENTERPRISES                     168NEW YORK           NY1015390980  
IHEARTMEDIA                           426SAN ANTONIO        TX7820918700  
ILLINOIS TOOL WORKS                   202GLENVIEW           IL6002650000  
INGREDION                             456WESTCHESTER        IL6015411000  
INSIGHT ENTERPRISES                   473TEMPE              AZ852835930   
INTEL                                 47 SANTA CLARA        CA95054106000 
INTERCONTINENTAL EXCHANGE             437ATLANTA            GA303285631   
INTERNATIONAL PAPER                   133MEMPHIS            TN3819755000  
INTERPUBLIC GROUP                     345NEW YORK           NY1003649800  
INTL FCSTONE                          189NEW YORK           NY100171464   
J.B. HUNT TRANSPORT SERVICES          407LOWELL             AR7274522190  
J.C. PENNEY                           221PLANO              TX75024106000 
J.M. SMUCKER                          346ORRVILLE           OH446676910   
J.P. MORGAN CHASE                     21 NEW YORK           NY10017243355 
JABIL CIRCUIT                         152SAINT PETERSBURG   FL33716138000 
JACOBS ENGINEERING GROUP              259DALLAS             TX7520149350  
JETBLUE AIRWAYS                       403LONG ISLAND CITY   NY1110115986  
JOHNSON & JOHNSON                     35 NEW BRUNSWICK      NJ8933 126400 
JONES FINANCIAL                       404DES PERES          MO6313143000  
JONES LANG LASALLE                    391CHICAGO            IL6060177300  
KELLOGG                               216BATTLE CREEK       MI4901737369  
KELLY SERVICES                        490TROY               MI480847500   
KEYCORP                               479CLEVELAND          OH4411415700  
